"Time","Species"
30,"Magpie"
60,"Chaffinch"
90,"Magpie"
180,"Collared Dove"
750,"Blackbird"
1020,"Magpie"
1110,"Collared Dove"
1320,"Chaffinch"
1320,"Blackbird"
1620,"Chaffinch"
1770,"Chaffinch"
2010,"Collared Dove"
2910,"Collared Dove"
3120,"Finch"
3330,"Magpie"
3690,"Starling"
3810,"Finch"
3900,"Blackbird"
4020,"Collared Dove"
4470,"Collared Dove"
4620,"Chaffinch"
4680,"Chaffinch"
4770,"Collared Dove"
4800,"Blackbird"
4800,"Starling"
4920,"Magpie"
5730,"Blackbird"
5970,"Starling"
6150,"Starling"
6450,"Chaffinch"
6450,"Collared Dove"
6510,"Finch"
6780,"Collared Dove"
6810,"Magpie"
7020,"Chaffinch"
7080,"Chaffinch"
7230,"Finch"
7380,"Chaffinch"
7440,"Collared Dove"
7650,"Blackbird"
7860,"Blackbird"
8100,"Starling"
8370,"Collared Dove"
8460,"Magpie"
8520,"Finch"
8790,"Chaffinch"
9000,"Chaffinch"
9090,"Chaffinch"
9480,"Blackbird"
9570,"Starling"
10020,"Magpie"
10650,"Chaffinch"
10770,"Chaffinch"
10890,"Collared Dove"
11070,"Blackbird"
11130,"Finch"
11190,"Finch"
11400,"Magpie"
11550,"Finch"
11580,"Blackbird"
11790,"Blackbird"
11850,"Chaffinch"
12150,"Magpie"
13140,"Starling"
13230,"Collared Dove"
13770,"Blackbird"
13980,"Blackbird"
14160,"Starling"
14310,"Chaffinch"
14670,"Blackbird"
15150,"Collared Dove"
15720,"Finch"
15780,"Chaffinch"
15870,"Chaffinch"
15870,"Starling"
15930,"Chaffinch"
16260,"Finch"
16410,"Finch"
16950,"Finch"
17040,"Finch"
17250,"Collared Dove"
17400,"Starling"
17430,"Magpie"
17880,"Magpie"
18030,"Finch"
18360,"Magpie"
18600,"Blackbird"
18870,"Blackbird"
19290,"Collared Dove"
19500,"Magpie"
19590,"Starling"
19800,"Blackbird"
19860,"Blackbird"
19980,"Starling"
20040,"Blackbird"
20130,"Magpie"
20160,"Starling"
20190,"Chaffinch"
20250,"Collared Dove"
20640,"Blackbird"
20760,"Magpie"
20850,"Starling"
20910,"Finch"
21150,"Starling"
21690,"Finch"
21750,"Finch"
22200,"Magpie"
22320,"Starling"
22470,"Chaffinch"
22770,"Finch"
23160,"Magpie"
23160,"Starling"
23190,"Starling"
23460,"Collared Dove"
23610,"Chaffinch"
23700,"Blackbird"
23700,"Starling"
23760,"Chaffinch"
23820,"Finch"
23850,"Magpie"
24000,"Collared Dove"
24360,"Finch"
24540,"Chaffinch"
24540,"Finch"
24600,"Blackbird"
25230,"Starling"
25530,"Collared Dove"
25530,"Finch"
25770,"Chaffinch"
25830,"Starling"
26070,"Chaffinch"
26160,"Finch"
26220,"Magpie"
26250,"Collared Dove"
26430,"Magpie"
26460,"Magpie"
26490,"Blackbird"
26910,"Collared Dove"
27060,"Blackbird"
27150,"Blackbird"
27360,"Magpie"
27810,"Blackbird"
28050,"Blackbird"
28110,"Chaffinch"
28260,"Blackbird"
28380,"Magpie"
28440,"Chaffinch"
28800,"Chaffinch"
29220,"Chaffinch"
29310,"Blackbird"
29370,"Magpie"
29730,"Magpie"
30270,"Chaffinch"
30660,"Starling"
30810,"Starling"
31170,"Finch"
31320,"Finch"
31320,"Collared Dove"
31350,"Finch"
31650,"Finch"
31830,"Blackbird"
32160,"Magpie"
32460,"Collared Dove"
32760,"Magpie"
32790,"Collared Dove"
33330,"Starling"
33750,"Magpie"
33810,"Blackbird"
34350,"Chaffinch"
34530,"Magpie"
34890,"Collared Dove"
35010,"Chaffinch"
35460,"Collared Dove"
35700,"Collared Dove"
36000,"Magpie"
36390,"Blackbird"
36540,"Finch"
36630,"Blackbird"
36780,"Blackbird"
36930,"Magpie"
36960,"Magpie"
37050,"Blackbird"
37230,"Finch"
37500,"Blackbird"
37590,"Chaffinch"
37740,"Blackbird"
37860,"Blackbird"
37890,"Magpie"
38370,"Chaffinch"
38580,"Collared Dove"
38760,"Starling"
38760,"Collared Dove"
39030,"Chaffinch"
39090,"Collared Dove"
39240,"Chaffinch"
39420,"Starling"
39510,"Starling"
39630,"Starling"
39660,"Starling"
39660,"Blackbird"
39870,"Chaffinch"
40020,"Finch"
40170,"Magpie"
40200,"Magpie"
40350,"Blackbird"
40770,"Magpie"
40860,"Finch"
40950,"Starling"
41130,"Magpie"
41160,"Starling"
41460,"Chaffinch"
41640,"Starling"
41670,"Finch"
41910,"Finch"
41940,"Magpie"
42060,"Collared Dove"
42510,"Magpie"
42810,"Collared Dove"
42840,"Starling"
43050,"Finch"
43110,"Chaffinch"
43290,"Collared Dove"
43530,"Collared Dove"
43830,"Starling"
43890,"Blackbird"
44280,"Starling"
44400,"Finch"
44490,"Collared Dove"
44700,"Blackbird"
44820,"Blackbird"
45750,"Collared Dove"
45780,"Finch"
45900,"Blackbird"
46020,"Chaffinch"
46080,"Blackbird"
46260,"Magpie"
46350,"Blackbird"
46470,"Finch"
46680,"Magpie"
47010,"Magpie"
47220,"Chaffinch"
47460,"Magpie"
47970,"Blackbird"
48090,"Collared Dove"
48090,"Collared Dove"
48090,"Magpie"
48660,"Blackbird"
48780,"Magpie"
48870,"Chaffinch"
49560,"Magpie"
49710,"Starling"
49890,"Finch"
49890,"Collared Dove"
49920,"Collared Dove"
50070,"Starling"
50340,"Starling"
50580,"Collared Dove"
50580,"Blackbird"
50640,"Chaffinch"
50940,"Starling"
51570,"Collared Dove"
51600,"Magpie"
51720,"Blackbird"
51870,"Chaffinch"
51900,"Blackbird"
52110,"Finch"
52170,"Starling"
52620,"Chaffinch"
52800,"Magpie"
52920,"Finch"
53250,"Collared Dove"
53340,"Blackbird"
53340,"Collared Dove"
53700,"Blackbird"
54960,"Blackbird"
55770,"Finch"
55770,"Starling"
56040,"Starling"
56250,"Finch"
56370,"Chaffinch"
57000,"Magpie"
57060,"Collared Dove"
57150,"Chaffinch"
57330,"Blackbird"
57390,"Chaffinch"
57420,"Blackbird"
57510,"Chaffinch"
57570,"Blackbird"
57960,"Collared Dove"
58020,"Collared Dove"
58050,"Blackbird"
58230,"Finch"
58290,"Blackbird"
58440,"Finch"
58500,"Finch"
58740,"Finch"
59010,"Starling"
59250,"Starling"
59370,"Blackbird"
59460,"Collared Dove"
60180,"Collared Dove"
60600,"Finch"
60810,"Magpie"
61170,"Finch"
61230,"Blackbird"
61470,"Starling"
61530,"Magpie"
61920,"Chaffinch"
62370,"Collared Dove"
62400,"Starling"
62490,"Magpie"
62490,"Starling"
62550,"Blackbird"
63060,"Chaffinch"
63750,"Blackbird"
63870,"Blackbird"
63990,"Blackbird"
64050,"Blackbird"
64350,"Magpie"
64560,"Chaffinch"
64650,"Chaffinch"
64680,"Starling"
64740,"Collared Dove"
